"codigo_show","codigo_artista","nome_artista","turne","local","data","cidade","estado","poster_url","foto_url"
"SHW-1028","ART-024","Matuê","Turnê 333 Stadium Tour","Fundição Progresso","02/01/2027 • 23:00","Rio de Janeiro","RJ","https://cdn-images.dzcdn.net/images/cover/d77bfb426725ea4bca4e606a21396b27/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/0edaeb3873f37a794fe956d23b08107d/1000x1000-000000-80-0-0.jpg"
"SHW-1029","ART-029","Djavan","Turnê D Ao Vivo","Sala São Paulo","11/12/2026 • 21:00","São Paulo","SP","https://cdn-images.dzcdn.net/images/cover/98bb12613ba242277d71aaecae930ee1/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/c7183e3802a594964d9f3b2e981b77e0/1000x1000-000000-80-0-0.jpg"
"SHW-1030","ART-029","Djavan","Turnê D Ao Vivo","Theatro Municipal","18/12/2026 • 20:30","Rio de Janeiro","RJ","https://cdn-images.dzcdn.net/images/cover/98bb12613ba242277d71aaecae930ee1/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/c7183e3802a594964d9f3b2e981b77e0/1000x1000-000000-80-0-0.jpg"
"SHW-1031","ART-030","Caetano Veloso","Caetano & Bethânia Turnê Brasil","Maracanã","03/10/2026 • 20:30","Rio de Janeiro","RJ","https://cdn-images.dzcdn.net/images/cover/3b85848e35185dca3c467a5b3a4a821e/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/1da65ffc46a6f6df942ea3f044d039f6/1000x1000-000000-80-0-0.jpg"
"SHW-1032","ART-030","Caetano Veloso","Caetano & Bethânia Turnê Brasil","Allianz Parque","10/10/2026 • 20:00","São Paulo","SP","https://cdn-images.dzcdn.net/images/cover/3b85848e35185dca3c467a5b3a4a821e/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/1da65ffc46a6f6df942ea3f044d039f6/1000x1000-000000-80-0-0.jpg"
"SHW-1033","ART-031","Maria Bethânia","Caetano & Bethânia Turnê Brasil","Arena Fonte Nova","25/10/2026 • 19:30","Salvador","BA","https://cdn-images.dzcdn.net/images/cover/e322ef951bb7e974e64f895fb927976e/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/e71168f6385a498b31a89c968f3a3a41/1000x1000-000000-80-0-0.jpg"
"SHW-1034","ART-037","Liniker","Turnê Caju Ao Vivo","Circo Voador","17/10/2026 • 21:00","Rio de Janeiro","RJ","https://cdn-images.dzcdn.net/images/cover/15ad8e0d37e7a7504f7f63116a44f776/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/06be95fe292d3211516e8386348c68ff/1000x1000-000000-80-0-0.jpg"
"SHW-1035","ART-037","Liniker","Turnê Caju Ao Vivo","Espaço Unimed","24/10/2026 • 21:30","São Paulo","SP","https://cdn-images.dzcdn.net/images/cover/15ad8e0d37e7a7504f7f63116a44f776/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/06be95fe292d3211516e8386348c68ff/1000x1000-000000-80-0-0.jpg"
"SHW-1036","ART-037","Liniker","Turnê Caju Ao Vivo","Ópera de Arame","07/11/2026 • 20:30","Curitiba","PR","https://cdn-images.dzcdn.net/images/cover/15ad8e0d37e7a7504f7f63116a44f776/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/06be95fe292d3211516e8386348c68ff/1000x1000-000000-80-0-0.jpg"
"SHW-1037","ART-038","Marina Sena","Vício Inerente Tour","Audio Club","13/11/2026 • 22:00","São Paulo","SP","https://cdn-images.dzcdn.net/images/cover/b90b82f09ba9cecb01416bfbcf1ecf42/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/5f72e391b1062b8a74e5088915b80a56/1000x1000-000000-80-0-0.jpg"
"SHW-1038","ART-038","Marina Sena","Vício Inerente Tour","Fundição Progresso","27/11/2026 • 22:30","Rio de Janeiro","RJ","https://cdn-images.dzcdn.net/images/cover/b90b82f09ba9cecb01416bfbcf1ecf42/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/5f72e391b1062b8a74e5088915b80a56/1000x1000-000000-80-0-0.jpg"
"SHW-1039","ART-042","João Gomes","Digo Ou Não Digo Ao Vivo","Marco Zero","05/12/2026 • 21:00","Recife","PE","https://cdn-images.dzcdn.net/images/cover/992497672ec1ba15a0c3258c70fa5c4d/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/06e6ee28a5fffe98e7bbef0694aa2801/1000x1000-000000-80-0-0.jpg"
"SHW-1040","ART-042","João Gomes","Digo Ou Não Digo Ao Vivo","Arena das Dunas","12/12/2026 • 21:30","Natal","RN","https://cdn-images.dzcdn.net/images/cover/992497672ec1ba15a0c3258c70fa5c4d/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/06e6ee28a5fffe98e7bbef0694aa2801/1000x1000-000000-80-0-0.jpg"
"SHW-1041","ART-045","Ivete Sangalo","A Festa 30 Anos","Arena Fonte Nova","18/10/2026 • 20:00","Salvador","BA","https://cdn-images.dzcdn.net/images/cover/85970c675971481e285d886915b80a56/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/683ebdfa666e8574044ffca6f2d56a73/1000x1000-000000-80-0-0.jpg"
"SHW-1042","ART-045","Ivete Sangalo","A Festa 30 Anos","Pedreira Paulo Leminski","25/10/2026 • 19:30","Curitiba","PR","https://cdn-images.dzcdn.net/images/cover/85970c675971481e285d886915b80a56/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/683ebdfa666e8574044ffca6f2d56a73/1000x1000-000000-80-0-0.jpg"
"SHW-1043","ART-048","NX Zero","Tour Cedo ou Tarde - O Reencontro","Allianz Parque","12/11/2026 • 21:00","São Paulo","SP","https://cdn-images.dzcdn.net/images/cover/a712f5a6a4f91e92d6e32bc009695679/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/773b0a50b86558661601666ff0fc4bf8/1000x1000-000000-80-0-0.jpg"
"SHW-1044","ART-048","NX Zero","Tour Cedo ou Tarde - O Reencontro","Qualistage","19/11/2026 • 21:30","Rio de Janeiro","RJ","https://cdn-images.dzcdn.net/images/cover/a712f5a6a4f91e92d6e32bc009695679/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/773b0a50b86558661601666ff0fc4bf8/1000x1000-000000-80-0-0.jpg"
"SHW-1045","ART-051","Alok","The Show Of The Century Tour","Arena Fonte Nova","05/12/2026 • 22:00","Salvador","BA","https://cdn-images.dzcdn.net/images/cover/633458bfb3211516e8386348c68ff81a/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/4835f1af75adeffe54c43a003d26ea39/1000x1000-000000-80-0-0.jpg"
"SHW-1046","ART-051","Alok","The Show Of The Century Tour","Mineirão","12/12/2026 • 22:30","Belo Horizonte","MG","https://cdn-images.dzcdn.net/images/cover/633458bfb3211516e8386348c68ff81a/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/4835f1af75adeffe54c43a003d26ea39/1000x1000-000000-80-0-0.jpg"
"SHW-1047","ART-051","Alok","The Show Of The Century Tour","Copacabana Palace","31/12/2026 • 23:00","Rio de Janeiro","RJ","https://cdn-images.dzcdn.net/images/cover/633458bfb3211516e8386348c68ff81a/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/4835f1af75adeffe54c43a003d26ea39/1000x1000-000000-80-0-0.jpg"
"SHW-1048","ART-053","Incubus","SWU Music & Arts Festival","Arena Maeda","09/10/2010 • 22:30","Itu","SP","https://cdn-images.dzcdn.net/images/cover/f41f71df46497f1fbc8db847be66aa10/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/b6f17e3f2252a12aa9e623eb6368d407/1000x1000-000000-80-0-0.jpg"
"SHW-1049","ART-053","Incubus","8 World Tour - Rock in Rio","Parque Olímpico (Palco Mundo)","17/09/2017 • 21:00","Rio de Janeiro","RJ","https://cdn-images.dzcdn.net/images/cover/f41f71df46497f1fbc8db847be66aa10/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/b6f17e3f2252a12aa9e623eb6368d407/1000x1000-000000-80-0-0.jpg"
"SHW-1050","ART-053","Incubus","São Paulo Trip","Allianz Parque","19/09/2017 • 20:30","São Paulo","SP","https://cdn-images.dzcdn.net/images/cover/f41f71df46497f1fbc8db847be66aa10/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/b6f17e3f2252a12aa9e623eb6368d407/1000x1000-000000-80-0-0.jpg"
"SHW-1051","ART-053","Incubus","Morning View Tour Live","Espaço Unimed","10/04/2024 • 21:30","São Paulo","SP","https://cdn-images.dzcdn.net/images/cover/f41f71df46497f1fbc8db847be66aa10/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/b6f17e3f2252a12aa9e623eb6368d407/1000x1000-000000-80-0-0.jpg"
"SHW-1052","ART-054","Taylor Swift","The Eras Tour Brasil","Estádio Nilton Santos (Engenhão)","17/11/2023 • 19:30","Rio de Janeiro","RJ","https://cdn-images.dzcdn.net/images/cover/15ad8e0d37e7a7504f7f63116a44f776/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/230bbd72d296695393080ffb2a95c960/1000x1000-000000-80-0-0.jpg"
"SHW-1053","ART-054","Taylor Swift","The Eras Tour Brasil","Estádio Nilton Santos (Engenhão)","19/11/2023 • 19:30","Rio de Janeiro","RJ","https://cdn-images.dzcdn.net/images/cover/15ad8e0d37e7a7504f7f63116a44f776/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/230bbd72d296695393080ffb2a95c960/1000x1000-000000-80-0-0.jpg"
"SHW-1054","ART-054","Taylor Swift","The Eras Tour Brasil","Allianz Parque","24/11/2023 • 19:30","São Paulo","SP","https://cdn-images.dzcdn.net/images/cover/15ad8e0d37e7a7504f7f63116a44f776/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/230bbd72d296695393080ffb2a95c960/1000x1000-000000-80-0-0.jpg"
"SHW-1055","ART-054","Taylor Swift","The Eras Tour Brasil","Allianz Parque","25/11/2023 • 19:30","São Paulo","SP","https://cdn-images.dzcdn.net/images/cover/15ad8e0d37e7a7504f7f63116a44f776/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/230bbd72d296695393080ffb2a95c960/1000x1000-000000-80-0-0.jpg"
"SHW-1056","ART-054","Taylor Swift","The Eras Tour Brasil","Allianz Parque","26/11/2023 • 19:30","São Paulo","SP","https://cdn-images.dzcdn.net/images/cover/15ad8e0d37e7a7504f7f63116a44f776/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/230bbd72d296695393080ffb2a95c960/1000x1000-000000-80-0-0.jpg"
"SHW-1057","ART-054","Taylor Swift","Red Tour Promo Live","Citibank Hall","13/09/2012 • 20:00","Rio de Janeiro","RJ","https://cdn-images.dzcdn.net/images/cover/15ad8e0d37e7a7504f7f63116a44f776/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/230bbd72d296695393080ffb2a95c960/1000x1000-000000-80-0-0.jpg"
"SHW-1058","ART-055","Spice Girls","Spiceworld Premiere Brazil","Olympia","28/11/1997 • 21:00","São Paulo","SP","https://cdn-images.dzcdn.net/images/cover/6c23bdfb5fbe7da84705596e1a4f00b2/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/bf3507c3ea9171f11c37d04e5d4ea813/1000x1000-000000-80-0-0.jpg"
"SHW-1059","ART-055","Spice Girls","Girl Power World Tour","Estádio do Pacaembu","05/12/1998 • 20:30","São Paulo","SP","https://cdn-images.dzcdn.net/images/cover/6c23bdfb5fbe7da84705596e1a4f00b2/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/bf3507c3ea9171f11c37d04e5d4ea813/1000x1000-000000-80-0-0.jpg"
"SHW-1060","ART-055","Spice Girls","Girl Power World Tour","Maracanãzinho","06/12/1998 • 20:00","Rio de Janeiro","RJ","https://cdn-images.dzcdn.net/images/cover/6c23bdfb5fbe7da84705596e1a4f00b2/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/bf3507c3ea9171f11c37d04e5d4ea813/1000x1000-000000-80-0-0.jpg"
"SHW-1061","ART-056","Dave Matthews Band","South America Tour","Via Funchal","28/09/2008 • 21:00","São Paulo","SP","https://cdn-images.dzcdn.net/images/cover/448d3db85be2f9864235338872b794dc/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/066d7ad4efcf95101a1db9196b010461/1000x1000-000000-80-0-0.jpg"
"SHW-1062","ART-056","Dave Matthews Band","SWU Music & Arts Festival","Arena Maeda","09/10/2010 • 23:45","Itu","SP","https://cdn-images.dzcdn.net/images/cover/448d3db85be2f9864235338872b794dc/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/066d7ad4efcf95101a1db9196b010461/1000x1000-000000-80-0-0.jpg"
"SHW-1063","ART-056","Dave Matthews Band","Rock in Rio Palco Mundo","Cidade do Rock (Parque Olímpico)","27/09/2019 • 22:00","Rio de Janeiro","RJ","https://cdn-images.dzcdn.net/images/cover/448d3db85be2f9864235338872b794dc/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/066d7ad4efcf95101a1db9196b010461/1000x1000-000000-80-0-0.jpg"
"SHW-1064","ART-056","Dave Matthews Band","South American Tour 2019","Ginásio do Ibirapuera","29/09/2019 • 20:30","São Paulo","SP","https://cdn-images.dzcdn.net/images/cover/448d3db85be2f9864235338872b794dc/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/066d7ad4efcf95101a1db9196b010461/1000x1000-000000-80-0-0.jpg"
"SHW-1065","ART-057","Coldplay","Music of the Spheres World Tour","Estádio do Morumbi","10/03/2023 • 20:30","São Paulo","SP","https://cdn-images.dzcdn.net/images/cover/db56f7105dfad6c9ff99a9cf57f7229e/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/e1a33054b719a936f00dc2050f3c90a9/1000x1000-000000-80-0-0.jpg"
"SHW-1066","ART-057","Coldplay","Music of the Spheres World Tour","Estádio Nilton Santos (Engenhão)","25/03/2023 • 21:00","Rio de Janeiro","RJ","https://cdn-images.dzcdn.net/images/cover/db56f7105dfad6c9ff99a9cf57f7229e/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/e1a33054b719a936f00dc2050f3c90a9/1000x1000-000000-80-0-0.jpg"
"SHW-1067","ART-057","Coldplay","Music of the Spheres World Tour","Estádio Couto Pereira","21/03/2023 • 20:30","Curitiba","PR","https://cdn-images.dzcdn.net/images/cover/db56f7105dfad6c9ff99a9cf57f7229e/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/e1a33054b719a936f00dc2050f3c90a9/1000x1000-000000-80-0-0.jpg"
"SHW-1068","ART-058","Paul McCartney","Got Back Tour Brasil","Allianz Parque","09/12/2023 • 20:00","São Paulo","SP","https://cdn-images.dzcdn.net/images/cover/4c6530666bb6c483d4e0e5ea4e41ea5d/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/19eb92f69ae705d9c19356616053ea6a/1000x1000-000000-80-0-0.jpg"
"SHW-1069","ART-058","Paul McCartney","Got Back Tour Brasil","Maracanã","16/12/2023 • 21:00","Rio de Janeiro","RJ","https://cdn-images.dzcdn.net/images/cover/4c6530666bb6c483d4e0e5ea4e41ea5d/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/19eb92f69ae705d9c19356616053ea6a/1000x1000-000000-80-0-0.jpg"
"SHW-1070","ART-058","Paul McCartney","Got Back Tour Brasil","Estádio Couto Pereira","13/12/2023 • 20:00","Curitiba","PR","https://cdn-images.dzcdn.net/images/cover/4c6530666bb6c483d4e0e5ea4e41ea5d/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/19eb92f69ae705d9c19356616053ea6a/1000x1000-000000-80-0-0.jpg"
"SHW-1071","ART-059","Red Hot Chili Peppers","The Global Stadium Tour Brasil","Estádio do Morumbi","10/11/2023 • 21:00","São Paulo","SP","https://cdn-images.dzcdn.net/images/cover/ec543f07a5f643f87cf31a0e1cb1ee4b/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/95a3297a708a3d5e27a6f2bbd3a6d71b/1000x1000-000000-80-0-0.jpg"
"SHW-1072","ART-059","Red Hot Chili Peppers","The Global Stadium Tour Brasil","Maracanã","04/11/2023 • 21:00","Rio de Janeiro","RJ","https://cdn-images.dzcdn.net/images/cover/ec543f07a5f643f87cf31a0e1cb1ee4b/1000x1000-000000-80-0-0.jpg","https://cdn-images.dzcdn.net/images/artist/95a3297a708a3d5e27a6f2bbd3a6d71b/1000x1000-000000-80-0-0.jpg"
